line_id,timestamp,host,source,message
156,2026-03-10 13:06:01,fw01,firewall,DENY tcp 203.0.113.19:43550 -> 10.20.1.11:23 bytes=0
157,2026-03-10 13:08:21,fs01,sshd,Accepted publickey for backup from 10.20.9.27 port 58398 ssh2
158,2026-03-10 13:11:10,app02,sshd,Accepted publickey for swilliams from 10.20.9.72 port 46378 ssh2
159,2026-03-10 13:28:08,web01,nginx,"203.0.113.19 - - ""GET /api/v2/orders?page=28 HTTP/1.1"" 200 5285"
160,2026-03-10 13:28:09,app01,sshd,Accepted publickey for deploy from 10.20.9.96 port 59782 ssh2
161,2026-03-10 13:28:55,web02,sshd,Accepted publickey for achen from 10.20.9.96 port 58814 ssh2
162,2026-03-10 13:31:46,fw01,firewall,ALLOW tcp 10.20.9.48:58191 -> 10.20.2.21:443 bytes=16639
163,2026-03-10 13:38:42,web02,nginx,"198.51.100.42 - - ""POST /api/v2/session HTTP/1.1"" 201 733"
164,2026-03-10 13:46:57,app02,systemd,Started Session 3927 of user deploy.
165,2026-03-10 13:58:44,db01,sshd,Accepted publickey for jmorales from 10.20.9.61 port 40087 ssh2
166,2026-03-10 14:03:23,fw01,firewall,DENY tcp 203.0.113.7:42060 -> 10.20.1.11:23 bytes=0
167,2026-03-10 14:07:51,db01,sshd,Failed password for swilliams from 10.20.9.88 port 50628 ssh2
168,2026-03-10 14:27:58,db01,systemd,Started Session 7606 of user jmorales.
169,2026-03-10 14:41:50,web02,sshd,Accepted publickey for deploy from 10.20.9.61 port 52382 ssh2
170,2026-03-10 14:43:29,web02,sshd,Accepted publickey for achen from 10.20.9.88 port 56871 ssh2
171,2026-03-10 15:14:51,fs01,sshd,Accepted publickey for tokafor from 10.20.9.33 port 53545 ssh2
172,2026-03-10 15:35:39,web02,sshd,Failed password for deploy from 10.20.9.33 port 50982 ssh2
173,2026-03-10 15:54:30,vpn01,systemd,Started Session 5146 of user tokafor.
174,2026-03-10 16:20:26,fw01,firewall,ALLOW tcp 10.20.9.96:52764 -> 10.20.3.55:443 bytes=16225
175,2026-03-10 16:21:44,app02,sshd,Failed password for monitor from 10.20.9.88 port 46622 ssh2
176,2026-03-10 16:30:32,web02,nginx,"203.0.113.19 - - ""POST /api/v2/session HTTP/1.1"" 201 308"
177,2026-03-10 16:45:23,web02,nginx,"203.0.113.7 - - ""POST /api/v2/session HTTP/1.1"" 201 729"
178,2026-03-10 16:45:34,web01,nginx,"203.0.113.19 - - ""GET /favicon.ico HTTP/1.1"" 404 153"
179,2026-03-10 17:11:22,fs01,cron,(tokafor) CMD (/usr/local/bin/report.sh --daily)
180,2026-03-10 17:24:32,web01,nginx,"198.51.100.42 - - ""GET /api/v2/orders?page=28 HTTP/1.1"" 200 6824"
181,2026-03-10 17:27:01,fs01,systemd,Started Session 7473 of user swilliams.
182,2026-03-10 17:38:52,app01,sudo,tokafor : TTY=pts/0 ; PWD=/home/tokafor ; USER=root ; COMMAND=/usr/bin/systemctl status nginx
183,2026-03-10 17:39:43,fw01,firewall,ALLOW tcp 10.20.9.48:42092 -> 10.20.2.40:443 bytes=39376
184,2026-03-10 17:49:19,fw01,firewall,DENY tcp 203.0.113.7:55528 -> 10.20.1.11:23 bytes=0
185,2026-03-10 17:58:44,web01,sshd,Failed password for jmorales from 10.20.9.33 port 40818 ssh2
186,2026-03-10 18:08:19,fw01,firewall,ALLOW tcp 10.20.9.33:44327 -> 10.20.1.11:443 bytes=26739
187,2026-03-10 18:15:37,web01,nginx,"198.51.100.42 - - ""GET /api/v2/orders?page=27 HTTP/1.1"" 200 5167"
188,2026-03-10 18:15:55,fw01,firewall,ALLOW tcp 10.20.9.14:47454 -> 10.20.1.12:443 bytes=47751
189,2026-03-10 18:31:15,db01,sshd,Failed password for achen from 10.20.9.96 port 49597 ssh2
190,2026-03-10 18:38:33,web02,nginx,"203.0.113.19 - - ""POST /api/v2/session HTTP/1.1"" 201 240"
191,2026-03-10 18:40:20,web02,sshd,Failed password for achen from 10.20.9.96 port 49652 ssh2
192,2026-03-10 18:44:03,web02,sshd,pam_unix(sshd:session): session opened for user jmorales by (uid=0)
193,2026-03-10 18:44:33,fw01,firewall,DENY tcp 198.51.100.42:50405 -> 10.20.1.11:23 bytes=0
194,2026-03-10 18:44:44,fw01,firewall,ALLOW tcp 10.20.9.96:44690 -> 10.20.2.21:443 bytes=6891
195,2026-03-10 18:59:54,app01,sshd,pam_unix(sshd:session): session opened for user swilliams by (uid=0)
196,2026-03-10 19:04:06,web01,nginx,"203.0.113.19 - - ""GET /favicon.ico HTTP/1.1"" 404 153"
197,2026-03-10 19:30:56,fw01,firewall,ALLOW tcp 10.20.9.61:48560 -> 10.20.1.11:443 bytes=21582
198,2026-03-10 19:41:51,fw01,firewall,ALLOW tcp 10.20.9.14:44087 -> 10.20.2.22:443 bytes=22689
199,2026-03-10 20:05:46,fs01,sudo,achen : TTY=pts/0 ; PWD=/home/achen ; USER=root ; COMMAND=/usr/bin/systemctl status nginx
200,2026-03-10 20:14:24,fw01,firewall,ALLOW tcp 10.20.9.27:51109 -> 10.20.1.21:443 bytes=27939
201,2026-03-10 20:18:29,app01,sudo,achen : TTY=pts/0 ; PWD=/home/achen ; USER=root ; COMMAND=/usr/bin/systemctl status nginx
202,2026-03-10 20:27:15,app02,sshd,Failed password for jmorales from 10.20.9.14 port 57039 ssh2
203,2026-03-10 20:33:12,vpn01,systemd,Started Session 5525 of user backup.
204,2026-03-10 20:39:25,fs01,systemd,Started Session 8392 of user achen.
205,2026-03-10 20:44:06,web01,sshd,Accepted publickey for achen from 10.20.9.61 port 41310 ssh2
206,2026-03-10 20:45:30,app02,sshd,pam_unix(sshd:session): session opened for user rpatel by (uid=0)
207,2026-03-10 20:46:30,web01,cron,(jmorales) CMD (/usr/local/bin/report.sh --daily)
208,2026-03-10 20:59:35,fw01,firewall,ALLOW tcp 10.20.9.96:45340 -> 10.20.1.21:443 bytes=39804
209,2026-03-11 00:46:02,fw01,firewall,ALLOW tcp 10.20.2.21:51902 -> 10.20.2.40:445 bytes=11806526
210,2026-03-11 01:48:19,web01,sshd,Accepted publickey for backup from 10.20.2.40 port 43808 ssh2
211,2026-03-11 01:59:16,vpn01,cron,(backup) CMD (/usr/local/bin/nightly-backup.sh --target /srv)
212,2026-03-11 02:14:00,fw01,firewall,DENY tcp 185.243.115.94:51949 -> 10.20.1.11:21 bytes=0
213,2026-03-11 02:14:01,fw01,firewall,DENY tcp 185.243.115.94:50044 -> 10.20.1.11:22 bytes=0
214,2026-03-11 02:14:02,fw01,firewall,DENY tcp 185.243.115.94:51585 -> 10.20.1.11:23 bytes=0
215,2026-03-11 02:14:05,fw01,firewall,DENY tcp 185.243.115.94:52979 -> 10.20.1.11:25 bytes=0
216,2026-03-11 02:14:06,fw01,firewall,DENY tcp 185.243.115.94:50144 -> 10.20.1.11:80 bytes=0
217,2026-03-11 02:14:08,fw01,firewall,DENY tcp 185.243.115.94:58401 -> 10.20.1.11:110 bytes=0
218,2026-03-11 02:14:10,fw01,firewall,DENY tcp 185.243.115.94:50638 -> 10.20.1.11:143 bytes=0
219,2026-03-11 02:14:11,fw01,firewall,DENY tcp 185.243.115.94:54993 -> 10.20.1.11:443 bytes=0
220,2026-03-11 02:14:12,fw01,firewall,DENY tcp 185.243.115.94:59784 -> 10.20.1.11:445 bytes=0
221,2026-03-11 02:14:15,fw01,firewall,DENY tcp 185.243.115.94:53445 -> 10.20.1.11:3306 bytes=0
222,2026-03-11 02:14:18,fw01,firewall,DENY tcp 185.243.115.94:53250 -> 10.20.1.11:3389 bytes=0
223,2026-03-11 02:14:19,fw01,firewall,DENY tcp 185.243.115.94:59382 -> 10.20.1.11:8080 bytes=0
224,2026-03-11 02:19:00,web01,nginx,"185.243.115.94 - - ""GET /admin HTTP/1.1"" 404 207"
225,2026-03-11 02:19:06,web01,nginx,"185.243.115.94 - - ""GET /wp-login.php HTTP/1.1"" 404 168"
226,2026-03-11 02:19:12,web01,nginx,"185.243.115.94 - - ""GET /.env HTTP/1.1"" 404 313"
227,2026-03-11 02:19:18,web01,nginx,"185.243.115.94 - - ""GET /.git/config HTTP/1.1"" 404 279"
228,2026-03-11 02:19:24,web01,nginx,"185.243.115.94 - - ""GET /backup.zip HTTP/1.1"" 404 275"
229,2026-03-11 02:19:31,web01,nginx,"185.243.115.94 - - ""GET /phpmyadmin/ HTTP/1.1"" 404 170"
230,2026-03-11 02:19:36,web01,nginx,"185.243.115.94 - - ""GET /api/v2/../../etc/passwd HTTP/1.1"" 400 236"
231,2026-03-11 02:31:00,vpn01,sshd,Failed password for root from 185.243.115.94 port 42841 ssh2
232,2026-03-11 02:31:02,vpn01,sshd,Failed password for invalid user admin from 185.243.115.94 port 59082 ssh2
233,2026-03-11 02:31:03,vpn01,sshd,Failed password for invalid user oracle from 185.243.115.94 port 52706 ssh2
234,2026-03-11 02:31:06,vpn01,sshd,Failed password for invalid user test from 185.243.115.94 port 49490 ssh2
235,2026-03-11 02:31:07,vpn01,sshd,Failed password for ubuntu from 185.243.115.94 port 40687 ssh2
236,2026-03-11 02:31:09,vpn01,sshd,Failed password for jmorales from 185.243.115.94 port 42050 ssh2
237,2026-03-11 02:31:10,vpn01,sshd,Failed password for jmorales from 185.243.115.94 port 43202 ssh2
238,2026-03-11 02:31:11,vpn01,sshd,Failed password for jmorales from 185.243.115.94 port 56769 ssh2
239,2026-03-11 02:31:14,vpn01,sshd,Failed password for svc_backup from 185.243.115.94 port 40608 ssh2
240,2026-03-11 02:31:17,vpn01,sshd,Failed password for svc_backup from 185.243.115.94 port 42734 ssh2
241,2026-03-11 02:31:19,vpn01,sshd,Failed password for deploy from 185.243.115.94 port 40760 ssh2
242,2026-03-11 02:31:20,vpn01,sshd,Failed password for deploy from 185.243.115.94 port 42651 ssh2
243,2026-03-11 02:31:22,vpn01,sshd,Failed password for deploy from 185.243.115.94 port 49261 ssh2
244,2026-03-11 02:31:24,vpn01,sshd,Failed password for deploy from 185.243.115.94 port 52403 ssh2
